round,model,est_rank,percentile
426,np_no_num,4916520,60.4
427,integrated_v2,3836946,47.1
427,np_no_num,3456998,42.4
428,integrated_v2,114025,1.4
428,np_no_num,116876,1.4
429,integrated_v2,2504073,30.7
429,np_no_num,2978907,36.6
430,integrated_v2,7909680,97.1
430,np_no_num,7806242,95.8
431,integrated_v2,3343380,41.0
431,np_no_num,3263562,40.1
432,integrated_v2,1517756,18.6
432,np_no_num,1490879,18.3
433,integrated_v2,7827419,96.1
433,np_no_num,7666154,94.1
434,integrated_v2,952110,11.7
434,np_no_num,1156948,14.2
435,integrated_v2,5999351,73.7
435,np_no_num,6526717,80.1
436,integrated_v2,1282376,15.7
436,np_no_num,1761281,21.6
437,integrated_v2,6703456,82.3
437,np_no_num,6585359,80.9
438,integrated_v2,7499596,92.1
438,np_no_num,7677557,94.3
439,integrated_v2,238638,2.9
439,np_no_num,168187,2.1
440,integrated_v2,134794,1.7
440,np_no_num,201580,2.5
441,integrated_v2,5052943,62.0
441,np_no_num,5081449,62.4
442,integrated_v2,7306975,89.7
442,np_no_num,6558889,80.5
443,integrated_v2,4424990,54.3
443,np_no_num,3361298,41.3
444,integrated_v2,7728868,94.9
444,np_no_num,7519958,92.3
445,integrated_v2,4418881,54.3
445,np_no_num,3851606,47.3
446,integrated_v2,4557748,56.0
446,np_no_num,5363254,65.8
447,integrated_v2,267959,3.3
447,np_no_num,246376,3.0
448,integrated_v2,2267879,27.8
448,np_no_num,2706875,33.2
449,integrated_v2,5051721,62.0
449,np_no_num,5706551,70.1
450,integrated_v2,4210785,51.7
450,np_no_num,4494627,55.2
451,integrated_v2,926047,11.4
451,np_no_num,673970,8.3
452,integrated_v2,6750288,82.9
452,np_no_num,6758840,83.0
453,integrated_v2,7357472,90.3
453,np_no_num,7449099,91.5
454,integrated_v2,5820169,71.5
454,np_no_num,5349815,65.7
455,integrated_v2,810800,10.0
455,np_no_num,1062063,13.0
456,integrated_v2,6234324,76.5
456,np_no_num,6246541,76.7
457,integrated_v2,7821310,96.0
457,np_no_num,7784659,95.6
458,integrated_v2,6170389,75.8
458,np_no_num,5660126,69.5
459,integrated_v2,7921082,97.3
459,np_no_num,7897055,97.0
460,integrated_v2,227236,2.8
460,np_no_num,282212,3.5
461,integrated_v2,1069800,13.1
461,np_no_num,1307624,16.1
462,integrated_v2,2563122,31.5
462,np_no_num,3077050,37.8
463,integrated_v2,539176,6.6
463,np_no_num,222756,2.7
464,integrated_v2,4106941,50.4
464,np_no_num,3943234,48.4
465,integrated_v2,462209,5.7
465,np_no_num,533475,6.5
466,integrated_v2,7232452,88.8
466,np_no_num,7583079,93.1
467,integrated_v2,743200,9.1
467,np_no_num,648314,8.0
468,integrated_v2,4511730,55.4
468,np_no_num,4820006,59.2
469,integrated_v2,6456266,79.3
469,np_no_num,6894856,84.7
470,integrated_v2,728132,8.9
470,np_no_num,952924,11.7
471,integrated_v2,7865291,96.6
471,np_no_num,7976873,97.9
472,integrated_v2,1918066,23.5
472,np_no_num,1870827,23.0
473,integrated_v2,7645793,93.9
473,np_no_num,7762669,95.3
474,integrated_v2,3435007,42.2
474,np_no_num,3116144,38.3
475,integrated_v2,5695556,69.9
475,np_no_num,5307463,65.2
476,integrated_v2,5430447,66.7
476,np_no_num,5237826,64.3
477,integrated_v2,7342812,90.2
477,np_no_num,7610771,93.4
478,integrated_v2,4218930,51.8
478,np_no_num,4668515,57.3
479,integrated_v2,997313,12.2
479,np_no_num,1217218,14.9
480,integrated_v2,939893,11.5
480,np_no_num,941929,11.6
481,integrated_v2,4212822,51.7
481,np_no_num,4194903,51.5
482,integrated_v2,4153366,51.0
482,np_no_num,5005704,61.5
483,integrated_v2,58234,0.7
483,np_no_num,50090,0.6
484,integrated_v2,6382557,78.4
484,np_no_num,6581287,80.8
485,integrated_v2,5835644,71.6
485,np_no_num,5765192,70.8
486,integrated_v2,2341588,28.7
486,np_no_num,2058968,25.3
487,integrated_v2,4055630,49.8
487,np_no_num,4417252,54.2
488,integrated_v2,4981270,61.2
488,np_no_num,5977361,73.4
489,integrated_v2,6705493,82.3
489,np_no_num,6302740,77.4
490,integrated_v2,2803797,34.4
490,np_no_num,2650677,32.5
491,integrated_v2,4928737,60.5
491,np_no_num,4679917,57.5
492,integrated_v2,7192543,88.3
492,np_no_num,6738886,82.7
493,integrated_v2,6737257,82.7
493,np_no_num,6178941,75.9
494,integrated_v2,5902430,72.5
494,np_no_num,5781075,71.0
495,integrated_v2,309904,3.8
495,np_no_num,342890,4.2
496,integrated_v2,6618345,81.3
496,np_no_num,6664362,81.8
497,integrated_v2,6090164,74.8
497,np_no_num,5558726,68.2
498,integrated_v2,6161837,75.7
498,np_no_num,6558482,80.5
499,integrated_v2,3834095,47.1
499,np_no_num,4408701,54.1
500,integrated_v2,1737662,21.3
500,np_no_num,1399251,17.2
501,integrated_v2,395016,4.8
501,np_no_num,460580,5.7
502,integrated_v2,2460907,30.2
502,np_no_num,2852665,35.0
503,integrated_v2,5315608,65.3
503,np_no_num,5528998,67.9
504,integrated_v2,6401697,78.6
504,np_no_num,6367490,78.2
505,integrated_v2,771299,9.5
505,np_no_num,958626,11.8
506,integrated_v2,7211276,88.5
506,np_no_num,6973452,85.6
507,integrated_v2,2705246,33.2
507,np_no_num,2211273,27.1
508,integrated_v2,2139600,26.3
508,np_no_num,2391270,29.4
509,integrated_v2,6205818,76.2
509,np_no_num,6099530,74.9
510,integrated_v2,6363010,78.1
510,np_no_num,5496012,67.5
511,integrated_v2,6755989,82.9
511,np_no_num,6895263,84.7
512,integrated_v2,6211519,76.3
512,np_no_num,5534292,67.9
513,integrated_v2,6060029,74.4
513,np_no_num,5414972,66.5
514,integrated_v2,894690,11.0
514,np_no_num,1215182,14.9
515,integrated_v2,3184966,39.1
515,np_no_num,3907397,48.0
516,integrated_v2,6061251,74.4
516,np_no_num,5473207,67.2
517,integrated_v2,6146769,75.5
517,np_no_num,6820332,83.7
518,integrated_v2,3735138,45.9
518,np_no_num,3221617,39.6
519,integrated_v2,4121194,50.6
519,np_no_num,4097575,50.3
520,integrated_v2,611256,7.5
520,np_no_num,592116,7.3
521,integrated_v2,909350,11.2
521,np_no_num,1167129,14.3
522,integrated_v2,3135284,38.5
522,np_no_num,3326276,40.8
523,integrated_v2,4588697,56.3
523,np_no_num,3371886,41.4
524,integrated_v2,7990719,98.1
524,np_no_num,8022483,98.5
525,integrated_v2,3235056,39.7
525,np_no_num,2529322,31.1
526,integrated_v2,1457486,17.9
526,np_no_num,1179753,14.5
527,integrated_v2,1126813,13.8
527,np_no_num,1112560,13.7
528,integrated_v2,687409,8.4
528,np_no_num,916273,11.2
529,integrated_v2,2952437,36.2
529,np_no_num,2839226,34.9
530,integrated_v2,5603114,68.8
530,np_no_num,5708180,70.1
531,integrated_v2,6821961,83.8
531,np_no_num,6762098,83.0
532,integrated_v2,6554409,80.5
532,np_no_num,6503098,79.8
533,integrated_v2,7677964,94.3
533,np_no_num,7725203,94.8
534,integrated_v2,3195555,39.2
534,np_no_num,3405687,41.8
535,integrated_v2,6371969,78.2
535,np_no_num,6159801,75.6
536,integrated_v2,2007657,24.6
536,np_no_num,1724223,21.2
537,integrated_v2,4100018,50.3
537,np_no_num,4377344,53.7
538,integrated_v2,2311045,28.4
538,np_no_num,2368465,29.1
539,integrated_v2,1220476,15.0
539,np_no_num,1312511,16.1
540,integrated_v2,5450809,66.9
540,np_no_num,5612887,68.9
541,integrated_v2,6786939,83.3
541,np_no_num,7138381,87.6
542,integrated_v2,4681139,57.5
542,np_no_num,4446980,54.6
543,integrated_v2,5218279,64.1
543,np_no_num,5249636,64.5
544,integrated_v2,3273743,40.2
544,np_no_num,3924908,48.2
545,integrated_v2,489494,6.0
545,np_no_num,394201,4.8
546,integrated_v2,1887116,23.2
546,np_no_num,1931912,23.7
547,integrated_v2,3375144,41.4
547,np_no_num,3997803,49.1
548,integrated_v2,1454635,17.9
548,np_no_num,1883858,23.1
549,integrated_v2,359179,4.4
549,np_no_num,191807,2.4
550,integrated_v2,3596271,44.2
550,np_no_num,3888257,47.7
551,integrated_v2,5913425,72.6
551,np_no_num,6142290,75.4
552,integrated_v2,4102462,50.4
552,np_no_num,3827172,47.0
553,integrated_v2,3754278,46.1
553,np_no_num,3985179,48.9
554,integrated_v2,4573223,56.1
554,np_no_num,4016128,49.3
555,integrated_v2,2658415,32.6
555,np_no_num,2194169,26.9
556,integrated_v2,3371072,41.4
556,np_no_num,2449097,30.1
557,integrated_v2,7138788,87.6
557,np_no_num,7137566,87.6
558,integrated_v2,1932319,23.7
558,np_no_num,1720558,21.1
559,integrated_v2,5798178,71.2
559,np_no_num,5214614,64.0
560,integrated_v2,5713067,70.1
560,np_no_num,5988356,73.5
561,integrated_v2,674377,8.3
561,np_no_num,567275,7.0
562,integrated_v2,2723165,33.4
562,np_no_num,3127954,38.4
563,integrated_v2,6525089,80.1
563,np_no_num,5541215,68.0
564,integrated_v2,1009530,12.4
564,np_no_num,606369,7.4
565,integrated_v2,5408864,66.4
565,np_no_num,6252650,76.8
566,integrated_v2,6828070,83.8
566,np_no_num,6709158,82.4
567,integrated_v2,6252243,76.8
567,np_no_num,6139846,75.4
568,integrated_v2,74116,0.9
568,np_no_num,83890,1.0
569,integrated_v2,6063694,74.4
569,np_no_num,5942339,73.0
570,integrated_v2,604740,7.4
570,np_no_num,903242,11.1
571,integrated_v2,731797,9.0
571,np_no_num,655237,8.0
572,integrated_v2,6080798,74.7
572,np_no_num,6029894,74.0
573,integrated_v2,1034371,12.7
573,np_no_num,815280,10.0
574,integrated_v2,3895995,47.8
574,np_no_num,3606859,44.3
575,integrated_v2,3508309,43.1
575,np_no_num,4231554,52.0
576,integrated_v2,8065650,99.0
576,np_no_num,8102301,99.5
577,integrated_v2,1305995,16.0
577,np_no_num,1191563,14.6
578,integrated_v2,621437,7.6
578,np_no_num,722023,8.9
579,integrated_v2,3625592,44.5
579,np_no_num,3407723,41.8
580,integrated_v2,7938186,97.5
580,np_no_num,7792804,95.7
581,integrated_v2,3121438,38.3
581,np_no_num,2696695,33.1
582,integrated_v2,5722026,70.3
582,np_no_num,5976953,73.4
583,integrated_v2,5009776,61.5
583,np_no_num,5490718,67.4
584,integrated_v2,5926864,72.8
584,np_no_num,5839716,71.7
585,integrated_v2,6075911,74.6
585,np_no_num,5536735,68.0
586,integrated_v2,3077864,37.8
586,np_no_num,3499757,43.0
587,integrated_v2,3649619,44.8
587,np_no_num,3527449,43.3
588,integrated_v2,7266659,89.2
588,np_no_num,7308604,89.7
589,integrated_v2,7844930,96.3
589,np_no_num,7691403,94.4
590,integrated_v2,3416682,41.9
590,np_no_num,3512789,43.1
591,integrated_v2,7060599,86.7
591,np_no_num,7162408,87.9
592,integrated_v2,7164851,88.0
592,np_no_num,7278062,89.4
593,integrated_v2,7285392,89.4
593,np_no_num,7401453,90.9
594,integrated_v2,7242632,88.9
594,np_no_num,7397788,90.8
595,integrated_v2,6073468,74.6
595,np_no_num,5654425,69.4
596,integrated_v2,689852,8.5
596,np_no_num,783108,9.6
597,integrated_v2,7541541,92.6
597,np_no_num,7756153,95.2
598,integrated_v2,7492673,92.0
598,np_no_num,7764297,95.3
599,integrated_v2,1892003,23.2
599,np_no_num,2419776,29.7
600,integrated_v2,4023458,49.4
600,np_no_num,3962374,48.6
601,integrated_v2,1217626,14.9
601,np_no_num,1448934,17.8
602,integrated_v2,4721862,58.0
602,np_no_num,4521504,55.5
603,integrated_v2,1851280,22.7
603,np_no_num,1807298,22.2
604,integrated_v2,1775127,21.8
604,np_no_num,2116795,26.0
605,integrated_v2,3212251,39.4
605,np_no_num,2886058,35.4
606,integrated_v2,1894853,23.3
606,np_no_num,1573140,19.3
607,integrated_v2,4324403,53.1
607,np_no_num,4294268,52.7
608,integrated_v2,7003994,86.0
608,np_no_num,6888747,84.6
609,integrated_v2,2703617,33.2
609,np_no_num,2552941,31.3
610,integrated_v2,7762669,95.3
610,np_no_num,7783030,95.6
611,integrated_v2,3460663,42.5
611,np_no_num,3334828,40.9
612,integrated_v2,8017189,98.4
612,np_no_num,8041623,98.7
613,integrated_v2,3231798,39.7
613,np_no_num,3016779,37.0
614,integrated_v2,7046346,86.5
614,np_no_num,7001144,86.0
615,integrated_v2,6687574,82.1
615,np_no_num,6191565,76.0
616,integrated_v2,3863009,47.4
616,np_no_num,4003911,49.2
617,integrated_v2,3074199,37.7
617,np_no_num,2462129,30.2
618,integrated_v2,992833,12.2
618,np_no_num,1086089,13.3
619,integrated_v2,4139520,50.8
619,np_no_num,4125267,50.6
620,integrated_v2,6071839,74.5
620,np_no_num,6557260,80.5
621,integrated_v2,7312269,89.8
621,np_no_num,6678208,82.0
622,integrated_v2,2342809,28.8
622,np_no_num,2643347,32.5
623,integrated_v2,4304856,52.9
623,np_no_num,4220559,51.8
624,integrated_v2,7588780,93.2
624,np_no_num,7587559,93.2
625,integrated_v2,3448039,42.3
625,np_no_num,3455776,42.4
626,integrated_v2,946409,11.6
626,np_no_num,1022561,12.6
627,integrated_v2,2259734,27.7
627,np_no_num,2284168,28.0
628,integrated_v2,4088208,50.2
628,np_no_num,3929388,48.2
629,integrated_v2,4050336,49.7
629,np_no_num,4259653,52.3
630,integrated_v2,1352420,16.6
630,np_no_num,1530787,18.8
631,integrated_v2,3133248,38.5
631,np_no_num,3450482,42.4
632,integrated_v2,5475243,67.2
632,np_no_num,5810395,71.3
633,integrated_v2,5029730,61.8
633,np_no_num,5306241,65.1
634,integrated_v2,3332385,40.9
634,np_no_num,1953902,24.0
635,integrated_v2,1360157,16.7
635,np_no_num,847858,10.4
636,integrated_v2,2820086,34.6
636,np_no_num,2316339,28.4
637,integrated_v2,2582262,31.7
637,np_no_num,2995196,36.8
638,integrated_v2,6471741,79.5
638,np_no_num,6794677,83.4
639,integrated_v2,8095378,99.4
639,np_no_num,8107595,99.5
640,integrated_v2,3296548,40.5
640,np_no_num,3088860,37.9
641,integrated_v2,4642045,57.0
641,np_no_num,4463677,54.8
642,integrated_v2,70044,0.9
642,np_no_num,105473,1.3
643,integrated_v2,5183664,63.6
643,np_no_num,5017921,61.6
644,integrated_v2,1863904,22.9
644,np_no_num,2221047,27.3
645,integrated_v2,625509,7.7
645,np_no_num,728539,8.9
646,integrated_v2,6119485,75.1
646,np_no_num,5714288,70.2
647,integrated_v2,7310640,89.8
647,np_no_num,7672670,94.2
648,integrated_v2,3110850,38.2
648,np_no_num,2530544,31.1
649,integrated_v2,6322694,77.6
649,np_no_num,6304776,77.4
650,integrated_v2,5925235,72.7
650,np_no_num,5493568,67.4
651,integrated_v2,775371,9.5
651,np_no_num,722838,8.9
652,integrated_v2,6530790,80.2
652,np_no_num,6609386,81.1
653,integrated_v2,1614270,19.8
653,np_no_num,1746214,21.4
654,integrated_v2,5619403,69.0
654,np_no_num,5666642,69.6
655,integrated_v2,6146769,75.5
655,np_no_num,6186678,76.0
656,integrated_v2,6174868,75.8
656,np_no_num,6157765,75.6
657,integrated_v2,5702886,70.0
657,np_no_num,5806730,71.3
658,integrated_v2,2012951,24.7
658,np_no_num,2028426,24.9
659,integrated_v2,4753219,58.4
659,np_no_num,4231554,52.0
660,integrated_v2,5718768,70.2
660,np_no_num,5057829,62.1
661,integrated_v2,1068986,13.1
661,np_no_num,1227806,15.1
662,integrated_v2,3726993,45.8
662,np_no_num,3806811,46.7
663,integrated_v2,6462782,79.3
663,np_no_num,6526717,80.1
664,integrated_v2,6706307,82.3
664,np_no_num,6817482,83.7
665,integrated_v2,6107675,75.0
665,np_no_num,6549523,80.4
666,integrated_v2,7971172,97.9
666,np_no_num,7805428,95.8
667,integrated_v2,7397381,90.8
667,np_no_num,7193765,88.3
668,integrated_v2,1849243,22.7
668,np_no_num,1613048,19.8
669,integrated_v2,4508473,55.4
669,np_no_num,5202804,63.9
670,integrated_v2,730575,9.0
670,np_no_num,687409,8.4
671,integrated_v2,1874899,23.0
671,np_no_num,1865125,22.9
672,integrated_v2,829126,10.2
672,np_no_num,930934,11.4
673,integrated_v2,5708994,70.1
673,np_no_num,5989170,73.5
674,integrated_v2,6828477,83.8
674,np_no_num,7348513,90.2
675,integrated_v2,5598227,68.7
675,np_no_num,4587476,56.3
676,integrated_v2,3001712,36.9
676,np_no_num,2355434,28.9
677,integrated_v2,4317480,53.0
677,np_no_num,4632678,56.9
678,integrated_v2,1143509,14.0
678,np_no_num,1248575,15.3
679,integrated_v2,4776024,58.6
679,np_no_num,4832630,59.3
680,integrated_v2,1578434,19.4
680,np_no_num,1833769,22.5
681,integrated_v2,4659149,57.2
681,np_no_num,3940790,48.4
682,integrated_v2,3789300,46.5
682,np_no_num,3090081,37.9
683,integrated_v2,87962,1.1
683,np_no_num,123799,1.5
684,integrated_v2,1257534,15.4
684,np_no_num,1492100,18.3
685,integrated_v2,7518736,92.3
685,np_no_num,7596925,93.3
686,integrated_v2,5999351,73.7
686,np_no_num,6096273,74.8
687,integrated_v2,6735628,82.7
687,np_no_num,6476221,79.5
688,integrated_v2,2769589,34.0
688,np_no_num,2431993,29.9
689,integrated_v2,2027204,24.9
689,np_no_num,2576968,31.6
690,integrated_v2,7101730,87.2
690,np_no_num,6885897,84.5
691,integrated_v2,5940710,72.9
691,np_no_num,5578273,68.5
692,integrated_v2,1120704,13.8
692,np_no_num,1041294,12.8
693,integrated_v2,6338169,77.8
693,np_no_num,6441199,79.1
694,integrated_v2,3182930,39.1
694,np_no_num,2938183,36.1
695,integrated_v2,6845173,84.0
695,np_no_num,6876530,84.4
696,integrated_v2,5381172,66.1
696,np_no_num,5409678,66.4
697,integrated_v2,3079086,37.8
697,np_no_num,2372537,29.1
698,integrated_v2,1766575,21.7
698,np_no_num,1788159,22.0
699,integrated_v2,6206225,76.2
699,np_no_num,6236768,76.6
700,integrated_v2,5189366,63.7
700,np_no_num,5175520,63.5
701,integrated_v2,3130805,38.4
701,np_no_num,3370665,41.4
702,integrated_v2,6428574,78.9
702,np_no_num,6398439,78.6
703,integrated_v2,3336457,41.0
703,np_no_num,3642289,44.7
704,integrated_v2,4244179,52.1
704,np_no_num,4798015,58.9
705,integrated_v2,668676,8.2
705,np_no_num,705734,8.7
706,integrated_v2,8110038,99.6
706,np_no_num,8069722,99.1
707,integrated_v2,992426,12.2
707,np_no_num,1096677,13.5
708,integrated_v2,7696697,94.5
708,np_no_num,7594481,93.2
709,integrated_v2,6848431,84.1
709,np_no_num,7102137,87.2
710,integrated_v2,2077701,25.5
710,np_no_num,1941278,23.8
711,integrated_v2,438997,5.4
711,np_no_num,394608,4.8
712,integrated_v2,3093339,38.0
712,np_no_num,2987866,36.7
713,integrated_v2,5483795,67.3
713,np_no_num,5338005,65.5
714,integrated_v2,700033,8.6
714,np_no_num,673970,8.3
715,integrated_v2,3779933,46.4
715,np_no_num,3581611,44.0
716,integrated_v2,3700930,45.4
716,np_no_num,4240106,52.1
717,integrated_v2,2742712,33.7
717,np_no_num,3821064,46.9
718,integrated_v2,6696941,82.2
718,np_no_num,6985261,85.8
719,integrated_v2,3862194,47.4
719,np_no_num,3814955,46.8
720,integrated_v2,1337352,16.4
720,np_no_num,1922545,23.6
721,integrated_v2,7006438,86.0
721,np_no_num,7230008,88.8
722,integrated_v2,4421325,54.3
722,np_no_num,4734487,58.1
723,integrated_v2,6755989,82.9
723,np_no_num,6789383,83.4
724,integrated_v2,7807057,95.9
724,np_no_num,7673077,94.2
725,integrated_v2,7545614,92.6
725,np_no_num,7737827,95.0
726,integrated_v2,3903732,47.9
726,np_no_num,4443315,54.6
727,integrated_v2,6072246,74.6
727,np_no_num,6329210,77.7
728,integrated_v2,7072816,86.8
728,np_no_num,7217791,88.6
729,integrated_v2,1599203,19.6
729,np_no_num,1556850,19.1
730,integrated_v2,889396,10.9
730,np_no_num,560759,6.9
731,integrated_v2,1197671,14.7
731,np_no_num,1525493,18.7
732,integrated_v2,1911957,23.5
732,np_no_num,1804855,22.2
733,integrated_v2,252077,3.1
733,np_no_num,235380,2.9
734,integrated_v2,377912,4.6
734,np_no_num,452028,5.5
735,integrated_v2,7860812,96.5
735,np_no_num,7960584,97.7
736,integrated_v2,5159230,63.3
736,np_no_num,5300947,65.1
737,integrated_v2,8120219,99.7
737,np_no_num,8110445,99.6
738,integrated_v2,6070617,74.5
738,np_no_num,4856656,59.6
739,integrated_v2,983467,12.1
739,np_no_num,868627,10.7
740,integrated_v2,706141,8.7
740,np_no_num,485829,6.0
741,integrated_v2,2315118,28.4
741,np_no_num,2548462,31.3
742,integrated_v2,1802819,22.1
742,np_no_num,1404545,17.2
743,integrated_v2,4868059,59.8
743,np_no_num,5076969,62.3
744,integrated_v2,4939732,60.6
744,np_no_num,5324160,65.4
745,integrated_v2,1281154,15.7
745,np_no_num,1110523,13.6
746,integrated_v2,7703213,94.6
746,np_no_num,7675114,94.2
747,integrated_v2,7975244,97.9
747,np_no_num,7793211,95.7
748,integrated_v2,2332221,28.6
748,np_no_num,2207608,27.1
749,integrated_v2,4378158,53.8
749,np_no_num,4350466,53.4
750,integrated_v2,4738966,58.2
750,np_no_num,5376693,66.0
751,integrated_v2,1909514,23.4
751,np_no_num,1621193,19.9
752,integrated_v2,2348103,28.8
752,np_no_num,1843135,22.6
753,integrated_v2,936228,11.5
753,np_no_num,1158577,14.2
754,integrated_v2,5490310,67.4
754,np_no_num,4919370,60.4
755,integrated_v2,4117122,50.5
755,np_no_num,3695229,45.4
756,integrated_v2,7508963,92.2
756,np_no_num,7342404,90.1
757,integrated_v2,462616,5.7
757,np_no_num,503340,6.2
758,integrated_v2,601075,7.4
758,np_no_num,647907,8.0
759,integrated_v2,6672100,81.9
759,np_no_num,6079169,74.6
760,integrated_v2,6781238,83.3
760,np_no_num,6482329,79.6
761,integrated_v2,4436392,54.5
761,np_no_num,4785391,58.8
762,integrated_v2,695146,8.5
762,np_no_num,421893,5.2
763,integrated_v2,3796630,46.6
763,np_no_num,3659800,44.9
764,integrated_v2,7287835,89.5
764,np_no_num,7473533,91.8
765,integrated_v2,6050663,74.3
765,np_no_num,6008310,73.8
766,integrated_v2,5331082,65.5
766,np_no_num,5426782,66.6
767,integrated_v2,3696858,45.4
767,np_no_num,3882963,47.7
768,integrated_v2,2513847,30.9
768,np_no_num,2981757,36.6
769,integrated_v2,6404140,78.6
769,np_no_num,6481107,79.6
770,integrated_v2,6705493,82.3
770,np_no_num,6735628,82.7
771,integrated_v2,385242,4.7
771,np_no_num,275696,3.4
772,integrated_v2,4034861,49.5
772,np_no_num,3589348,44.1
773,integrated_v2,3530707,43.3
773,np_no_num,4223817,51.9
774,integrated_v2,1878157,23.1
774,np_no_num,1966526,24.1
775,integrated_v2,5567277,68.4
775,np_no_num,5230089,64.2
776,integrated_v2,6903000,84.8
776,np_no_num,7238153,88.9
777,integrated_v2,2324891,28.5
777,np_no_num,3293290,40.4
778,integrated_v2,6295409,77.3
778,np_no_num,5550581,68.1
779,integrated_v2,3912284,48.0
779,np_no_num,4466935,54.8
780,integrated_v2,4600914,56.5
780,np_no_num,3667944,45.0
781,integrated_v2,6018491,73.9
781,np_no_num,6106453,75.0
782,integrated_v2,7241004,88.9
782,np_no_num,7450321,91.5
783,integrated_v2,8085197,99.3
783,np_no_num,8091713,99.3
784,integrated_v2,5277735,64.8
784,np_no_num,5674380,69.7
785,integrated_v2,2860809,35.1
785,np_no_num,3255418,40.0
786,integrated_v2,4058073,49.8
786,np_no_num,3537630,43.4
787,integrated_v2,1795489,22.0
787,np_no_num,1658659,20.4
788,integrated_v2,4178207,51.3
788,np_no_num,3988844,49.0
789,integrated_v2,5618996,69.0
789,np_no_num,5125837,62.9
790,integrated_v2,4080878,50.1
790,np_no_num,4442094,54.5
791,integrated_v2,4088616,50.2
791,np_no_num,3450482,42.4
792,integrated_v2,3580389,44.0
792,np_no_num,3887036,47.7
793,integrated_v2,2093583,25.7
793,np_no_num,2626243,32.2
794,integrated_v2,5965551,73.2
794,np_no_num,5836865,71.7
795,integrated_v2,4935660,60.6
795,np_no_num,5142534,63.1
796,integrated_v2,1940056,23.8
796,np_no_num,1817479,22.3
797,integrated_v2,538769,6.6
797,np_no_num,535918,6.6
798,integrated_v2,6650923,81.7
798,np_no_num,6642779,81.6
799,integrated_v2,107102,1.3
799,np_no_num,128686,1.6
800,integrated_v2,5965144,73.2
800,np_no_num,5133167,63.0
801,integrated_v2,3118180,38.3
801,np_no_num,3245644,39.8
802,integrated_v2,244747,3.0
802,np_no_num,168594,2.1
803,integrated_v2,1288077,15.8
803,np_no_num,1268937,15.6
804,integrated_v2,5681303,69.8
804,np_no_num,6128037,75.2
805,integrated_v2,6240840,76.6
805,np_no_num,6133738,75.3
806,integrated_v2,5823834,71.5
806,np_no_num,5485016,67.3
807,integrated_v2,1808520,22.2
807,np_no_num,1769833,21.7
808,integrated_v2,3072570,37.7
808,np_no_num,2510996,30.8
809,integrated_v2,4931994,60.6
809,np_no_num,5354295,65.7
810,integrated_v2,4749961,58.3
810,np_no_num,5043983,61.9
811,integrated_v2,145789,1.8
811,np_no_num,214204,2.6
812,integrated_v2,277733,3.4
812,np_no_num,339632,4.2
813,integrated_v2,3152388,38.7
813,np_no_num,2882800,35.4
814,integrated_v2,3528264,43.3
814,np_no_num,4045856,49.7
815,integrated_v2,971250,11.9
815,np_no_num,735869,9.0
816,integrated_v2,149047,1.8
816,np_no_num,136423,1.7
817,integrated_v2,4846476,59.5
817,np_no_num,5083485,62.4
818,integrated_v2,6462782,79.3
818,np_no_num,6415543,78.8
819,integrated_v2,2900311,35.6
819,np_no_num,3108814,38.2
820,integrated_v2,2803389,34.4
820,np_no_num,2746784,33.7
821,integrated_v2,1606533,19.7
821,np_no_num,2042272,25.1
822,integrated_v2,5840123,71.7
822,np_no_num,5588453,68.6
823,integrated_v2,5289952,64.9
823,np_no_num,4840367,59.4
824,integrated_v2,4242550,52.1
824,np_no_num,4586661,56.3
825,integrated_v2,1866347,22.9
825,np_no_num,1912364,23.5
826,integrated_v2,6637078,81.5
826,np_no_num,6580472,80.8
827,integrated_v2,3017187,37.0
827,np_no_num,3881742,47.7
828,integrated_v2,6884268,84.5
828,np_no_num,7410820,91.0
829,integrated_v2,7837599,96.2
829,np_no_num,7778551,95.5
830,integrated_v2,1503096,18.5
830,np_no_num,1280747,15.7
831,integrated_v2,286285,3.5
831,np_no_num,311533,3.8
832,integrated_v2,2266657,27.8
832,np_no_num,2793209,34.3
833,integrated_v2,695961,8.5
833,np_no_num,533475,6.5
834,integrated_v2,7978095,98.0
834,np_no_num,7939408,97.5
835,integrated_v2,2562308,31.5
835,np_no_num,3605231,44.3
836,integrated_v2,6392738,78.5
836,np_no_num,5866593,72.0
837,integrated_v2,2191726,26.9
837,np_no_num,2513847,30.9
838,integrated_v2,6062880,74.4
838,np_no_num,6051477,74.3
839,integrated_v2,5438592,66.8
839,np_no_num,4581774,56.3
840,integrated_v2,5588861,68.6
840,np_no_num,5485831,67.4
841,integrated_v2,5601485,68.8
841,np_no_num,6369118,78.2
842,integrated_v2,4146035,50.9
842,np_no_num,4043413,49.6
843,integrated_v2,3451297,42.4
843,np_no_num,3393877,41.7
844,integrated_v2,1192784,14.6
844,np_no_num,1333280,16.4
845,integrated_v2,1422464,17.5
845,np_no_num,1610605,19.8
846,integrated_v2,2266657,27.8
846,np_no_num,2449504,30.1
847,integrated_v2,6867164,84.3
847,np_no_num,6566626,80.6
848,integrated_v2,5857634,71.9
848,np_no_num,5849082,71.8
849,integrated_v2,5264296,64.6
849,np_no_num,5994872,73.6
850,integrated_v2,7404711,90.9
850,np_no_num,7370504,90.5
851,integrated_v2,7050011,86.6
851,np_no_num,7010510,86.1
852,integrated_v2,1312918,16.1
852,np_no_num,1051475,12.9
853,integrated_v2,4180650,51.3
