round,model,est_rank,percentile
86,np_no_num,3169084,38.9
87,integrated_v2,4790685,58.8
87,np_no_num,4726749,58.0
88,integrated_v2,7289871,89.5
88,np_no_num,7168516,88.0
89,integrated_v2,634876,7.8
89,np_no_num,685780,8.4
90,integrated_v2,582750,7.2
90,np_no_num,577863,7.1
91,integrated_v2,7336296,90.1
91,np_no_num,7355436,90.3
92,integrated_v2,3731065,45.8
92,np_no_num,3729437,45.8
93,integrated_v2,5385244,66.1
93,np_no_num,5541622,68.0
94,integrated_v2,3988029,49.0
94,np_no_num,3564100,43.8
95,integrated_v2,2147338,26.4
95,np_no_num,2776105,34.1
96,integrated_v2,7832713,96.2
96,np_no_num,7596110,93.3
97,integrated_v2,414156,5.1
97,np_no_num,388500,4.8
98,integrated_v2,4041377,49.6
98,np_no_num,4407072,54.1
99,integrated_v2,458544,5.6
99,np_no_num,451621,5.5
100,integrated_v2,8011488,98.4
100,np_no_num,8018003,98.4
101,integrated_v2,7627467,93.6
101,np_no_num,7611585,93.5
102,integrated_v2,2392899,29.4
102,np_no_num,1869605,23.0
103,integrated_v2,3273743,40.2
103,np_no_num,3098226,38.0
104,integrated_v2,3975812,48.8
104,np_no_num,3543331,43.5
105,integrated_v2,7433625,91.3
105,np_no_num,7476791,91.8
106,integrated_v2,3053838,37.5
106,np_no_num,3714369,45.6
107,integrated_v2,6164688,75.7
107,np_no_num,6046590,74.2
108,integrated_v2,3760386,46.2
108,np_no_num,3775047,46.3
109,integrated_v2,6301518,77.4
109,np_no_num,6139439,75.4
110,integrated_v2,4517839,55.5
110,np_no_num,5050906,62.0
111,integrated_v2,4597249,56.4
111,np_no_num,4405850,54.1
112,integrated_v2,7180733,88.2
112,np_no_num,6639114,81.5
113,integrated_v2,7545206,92.6
113,np_no_num,7701176,94.6
114,integrated_v2,7664933,94.1
114,np_no_num,7493488,92.0
115,integrated_v2,4636751,56.9
115,np_no_num,4420510,54.3
116,integrated_v2,6624861,81.3
116,np_no_num,6897706,84.7
117,integrated_v2,2133085,26.2
117,np_no_num,2478418,30.4
118,integrated_v2,3913913,48.1
118,np_no_num,3503015,43.0
119,integrated_v2,6814631,83.7
119,np_no_num,5939081,72.9
120,integrated_v2,5998130,73.6
120,np_no_num,6043332,74.2
121,integrated_v2,4276350,52.5
121,np_no_num,4083322,50.1
122,integrated_v2,2147745,26.4
122,np_no_num,2482897,30.5
123,integrated_v2,4211600,51.7
123,np_no_num,4405850,54.1
124,integrated_v2,317641,3.9
124,np_no_num,324564,4.0
125,integrated_v2,281398,3.5
125,np_no_num,187734,2.3
126,integrated_v2,237009,2.9
126,np_no_num,343704,4.2
127,integrated_v2,3246051,39.9
127,np_no_num,3132026,38.5
128,integrated_v2,2333967,28.7
128,np_no_num,2516416,30.9
129,integrated_v2,5322938,65.4
129,np_no_num,5158416,63.3
130,integrated_v2,7174217,88.1
130,np_no_num,7268288,89.2
131,integrated_v2,1689608,20.7
131,np_no_num,1305588,16.0
132,integrated_v2,746050,9.2
132,np_no_num,756638,9.3
133,integrated_v2,1308031,16.1
133,np_no_num,1097492,13.5
134,integrated_v2,3073792,37.7
134,np_no_num,3858122,47.4
135,integrated_v2,4183908,51.4
135,np_no_num,4767065,58.5
136,integrated_v2,1033556,12.7
136,np_no_num,1163464,14.3
137,integrated_v2,3531929,43.4
137,np_no_num,3736767,45.9
138,integrated_v2,5051721,62.0
138,np_no_num,5307056,65.2
139,integrated_v2,7822125,96.0
139,np_no_num,7654345,94.0
140,integrated_v2,1145545,14.1
140,np_no_num,1099121,13.5
141,integrated_v2,3175600,39.0
141,np_no_num,3618669,44.4
142,integrated_v2,829126,10.2
142,np_no_num,652387,8.0
143,integrated_v2,3757128,46.1
143,np_no_num,2766331,34.0
144,integrated_v2,1107266,13.6
144,np_no_num,1586986,19.5
145,integrated_v2,7647014,93.9
145,np_no_num,7649051,93.9
146,integrated_v2,6519795,80.0
146,np_no_num,6619567,81.3
147,integrated_v2,6666806,81.9
147,np_no_num,7030057,86.3
148,integrated_v2,4883534,60.0
148,np_no_num,3888664,47.7
149,integrated_v2,6902593,84.7
149,np_no_num,7113132,87.3
150,integrated_v2,2554978,31.4
150,np_no_num,3240757,39.8
151,integrated_v2,7536247,92.5
151,np_no_num,6988519,85.8
152,integrated_v2,6468483,79.4
152,np_no_num,6683909,82.1
153,integrated_v2,4136669,50.8
153,np_no_num,4819598,59.2
154,integrated_v2,6340205,77.8
154,np_no_num,6999922,85.9
155,integrated_v2,5423932,66.6
155,np_no_num,4989414,61.3
156,integrated_v2,2416518,29.7
156,np_no_num,2407967,29.6
157,integrated_v2,7913752,97.2
157,np_no_num,7968321,97.8
158,integrated_v2,4939732,60.6
158,np_no_num,5201990,63.9
159,integrated_v2,4212822,51.7
159,np_no_num,4450238,54.6
160,integrated_v2,7186842,88.2
160,np_no_num,7285799,89.5
161,integrated_v2,1569475,19.3
161,np_no_num,1201336,14.7
162,integrated_v2,7939408,97.5
162,np_no_num,7925154,97.3
163,integrated_v2,2199871,27.0
163,np_no_num,2295163,28.2
164,integrated_v2,5614109,68.9
164,np_no_num,5197103,63.8
165,integrated_v2,2748820,33.7
165,np_no_num,3086009,37.9
166,integrated_v2,3331163,40.9
166,np_no_num,4249065,52.2
167,integrated_v2,5854784,71.9
167,np_no_num,4782947,58.7
168,integrated_v2,1382555,17.0
168,np_no_num,1268937,15.6
169,integrated_v2,2879542,35.4
169,np_no_num,2967911,36.4
170,integrated_v2,1759652,21.6
170,np_no_num,1665989,20.5
171,integrated_v2,766005,9.4
171,np_no_num,1127627,13.8
172,integrated_v2,4162325,51.1
172,np_no_num,4576073,56.2
173,integrated_v2,6044961,74.2
173,np_no_num,6436719,79.0
174,integrated_v2,1828067,22.4
174,np_no_num,1781643,21.9
175,integrated_v2,5247600,64.4
175,np_no_num,5075340,62.3
176,integrated_v2,837678,10.3
176,np_no_num,857632,10.5
177,integrated_v2,1389071,17.1
177,np_no_num,1367080,16.8
178,integrated_v2,3149944,38.7
178,np_no_num,3098226,38.0
179,integrated_v2,7287021,89.5
179,np_no_num,7552944,92.7
180,integrated_v2,1207038,14.8
180,np_no_num,1174459,14.4
181,integrated_v2,4975568,61.1
181,np_no_num,5335155,65.5
182,integrated_v2,6426945,78.9
182,np_no_num,6549115,80.4
183,integrated_v2,1514498,18.6
183,np_no_num,1373596,16.9
184,integrated_v2,4714532,57.9
184,np_no_num,4685212,57.5
185,integrated_v2,4828965,59.3
185,np_no_num,3955451,48.6
186,integrated_v2,6905037,84.8
186,np_no_num,6735628,82.7
187,integrated_v2,7483714,91.9
187,np_no_num,7589187,93.2
188,integrated_v2,3647583,44.8
188,np_no_num,3532336,43.4
189,integrated_v2,4986156,61.2
189,np_no_num,5310314,65.2
190,integrated_v2,7870178,96.6
190,np_no_num,7841672,96.3
191,integrated_v2,6029894,74.0
191,np_no_num,6192379,76.0
192,integrated_v2,7065486,86.7
192,np_no_num,7250777,89.0
193,integrated_v2,1470110,18.0
193,np_no_num,1779199,21.8
194,integrated_v2,6255908,76.8
194,np_no_num,6207040,76.2
195,integrated_v2,279769,3.4
195,np_no_num,287099,3.5
196,integrated_v2,6266496,76.9
196,np_no_num,5511894,67.7
197,integrated_v2,1477847,18.1
197,np_no_num,1231879,15.1
198,integrated_v2,8084382,99.3
198,np_no_num,8075423,99.1
199,integrated_v2,6833364,83.9
199,np_no_num,6732370,82.7
200,integrated_v2,4530870,55.6
200,np_no_num,4075177,50.0
201,integrated_v2,4042191,49.6
201,np_no_num,4155402,51.0
202,integrated_v2,5946411,73.0
202,np_no_num,6017269,73.9
203,integrated_v2,3305915,40.6
203,np_no_num,3977441,48.8
204,integrated_v2,1822773,22.4
204,np_no_num,2161591,26.5
205,integrated_v2,5072897,62.3
205,np_no_num,4587883,56.3
206,integrated_v2,2253218,27.7
206,np_no_num,1628523,20.0
207,integrated_v2,4284087,52.6
207,np_no_num,4568336,56.1
208,integrated_v2,6080391,74.7
208,np_no_num,5962700,73.2
209,integrated_v2,2619728,32.2
209,np_no_num,2932075,36.0
210,integrated_v2,881251,10.8
210,np_no_num,708992,8.7
211,integrated_v2,4710460,57.8
211,np_no_num,4473043,54.9
212,integrated_v2,7900313,97.0
212,np_no_num,7797691,95.7
213,integrated_v2,1986074,24.4
213,np_no_num,1729517,21.2
214,integrated_v2,5878403,72.2
214,np_no_num,5845010,71.8
215,integrated_v2,5950483,73.1
215,np_no_num,5160045,63.4
216,integrated_v2,805913,9.9
216,np_no_num,939486,11.5
217,integrated_v2,1396401,17.1
217,np_no_num,754195,9.3
218,integrated_v2,85112,1.0
218,np_no_num,58234,0.7
219,integrated_v2,1634225,20.1
219,np_no_num,1874899,23.0
220,integrated_v2,3924908,48.2
220,np_no_num,3965631,48.7
221,integrated_v2,469946,5.8
221,np_no_num,580714,7.1
222,integrated_v2,7506519,92.2
222,np_no_num,7609549,93.4
223,integrated_v2,2953658,36.3
223,np_no_num,3178858,39.0
224,integrated_v2,3565729,43.8
224,np_no_num,2611176,32.1
225,integrated_v2,3495685,42.9
225,np_no_num,4016943,49.3
226,integrated_v2,6801600,83.5
226,np_no_num,6771057,83.1
227,integrated_v2,6583323,80.8
227,np_no_num,6524274,80.1
228,integrated_v2,153527,1.9
228,np_no_num,153934,1.9
229,integrated_v2,2336701,28.7
229,np_no_num,2339144,28.7
230,integrated_v2,2914157,35.8
230,np_no_num,3364149,41.3
231,integrated_v2,2041457,25.1
231,np_no_num,2176658,26.7
232,integrated_v2,7200688,88.4
232,np_no_num,6834993,83.9
233,integrated_v2,2325706,28.6
233,np_no_num,2629094,32.3
234,integrated_v2,5802658,71.2
234,np_no_num,5324567,65.4
235,integrated_v2,7723167,94.8
235,np_no_num,6857390,84.2
236,integrated_v2,6121114,75.2
236,np_no_num,6025007,74.0
237,integrated_v2,7384349,90.7
237,np_no_num,7321228,89.9
238,integrated_v2,3742468,45.9
238,np_no_num,4339471,53.3
239,integrated_v2,6984447,85.8
239,np_no_num,6785310,83.3
240,integrated_v2,5570128,68.4
240,np_no_num,4808603,59.0
241,integrated_v2,7481271,91.9
241,np_no_num,7571269,93.0
242,integrated_v2,2639275,32.4
242,np_no_num,3015965,37.0
243,integrated_v2,6544228,80.3
243,np_no_num,6685945,82.1
244,integrated_v2,1200522,14.7
244,np_no_num,1107266,13.6
245,integrated_v2,6940466,85.2
245,np_no_num,7227565,88.7
246,integrated_v2,2231635,27.4
246,np_no_num,1791416,22.0
247,integrated_v2,6884675,84.5
247,np_no_num,6959606,85.4
248,integrated_v2,4333770,53.2
248,np_no_num,4525169,55.6
249,integrated_v2,6207040,76.2
249,np_no_num,5904466,72.5
250,integrated_v2,4799237,58.9
250,np_no_num,4154587,51.0
251,integrated_v2,2977278,36.6
251,np_no_num,3525820,43.3
252,integrated_v2,5331082,65.5
252,np_no_num,5339227,65.6
253,integrated_v2,3078272,37.8
253,np_no_num,3718441,45.7
254,integrated_v2,530624,6.5
254,np_no_num,441033,5.4
255,integrated_v2,7536654,92.5
255,np_no_num,7222271,88.7
256,integrated_v2,1161427,14.3
256,np_no_num,899170,11.0
257,integrated_v2,2363171,29.0
257,np_no_num,3037548,37.3
258,integrated_v2,6574364,80.7
258,np_no_num,5935823,72.9
259,integrated_v2,5484202,67.3
259,np_no_num,5397461,66.3
260,integrated_v2,3936718,48.3
260,np_no_num,4881905,59.9
261,integrated_v2,3726586,45.8
261,np_no_num,3495278,42.9
262,integrated_v2,6571513,80.7
262,np_no_num,6894041,84.6
263,integrated_v2,3084380,37.9
263,np_no_num,3496907,42.9
264,integrated_v2,2941849,36.1
264,np_no_num,3217545,39.5
265,integrated_v2,5129502,63.0
265,np_no_num,5537549,68.0
266,integrated_v2,1521421,18.7
266,np_no_num,1949423,23.9
267,integrated_v2,5865372,72.0
267,np_no_num,5866186,72.0
268,integrated_v2,2208015,27.1
268,np_no_num,2142451,26.3
269,integrated_v2,3379624,41.5
269,np_no_num,3484690,42.8
270,integrated_v2,5300133,65.1
270,np_no_num,4758513,58.4
271,integrated_v2,5645059,69.3
271,np_no_num,5840123,71.7
272,integrated_v2,7915381,97.2
272,np_no_num,7819274,96.0
273,integrated_v2,441847,5.4
273,np_no_num,388093,4.8
274,integrated_v2,100586,1.2
274,np_no_num,90406,1.1
275,integrated_v2,7471090,91.7
275,np_no_num,6983225,85.7
276,integrated_v2,3942012,48.4
276,np_no_num,3727400,45.8
277,integrated_v2,5353480,65.7
277,np_no_num,5050906,62.0
278,integrated_v2,1174052,14.4
278,np_no_num,1237580,15.2
279,integrated_v2,761118,9.3
279,np_no_num,857632,10.5
280,integrated_v2,6353644,78.0
280,np_no_num,6255908,76.8
281,integrated_v2,5276921,64.8
281,np_no_num,4810232,59.1
282,integrated_v2,1351605,16.6
282,np_no_num,1501060,18.4
283,integrated_v2,4182686,51.4
283,np_no_num,3999432,49.1
284,integrated_v2,6016455,73.9
284,np_no_num,6479071,79.5
285,integrated_v2,5294024,65.0
285,np_no_num,4560191,56.0
286,integrated_v2,2472309,30.4
286,np_no_num,2279688,28.0
287,integrated_v2,553429,6.8
287,np_no_num,778629,9.6
288,integrated_v2,6658254,81.7
288,np_no_num,7008474,86.0
289,integrated_v2,6033966,74.1
289,np_no_num,6714859,82.4
290,integrated_v2,2428735,29.8
290,np_no_num,2599366,31.9
291,integrated_v2,6712416,82.4
291,np_no_num,6445271,79.1
